order_id,customer_id,order_date,order_value,signup_date,region,customer_segment,payment_id,payment_date,payment_status,total_tickets,last_ticket_date
1,1,2023-07-14,3060,2023-08-17,South,Individual,1,2023-07-17,SUCCESS,5.0,2025-12-28
2,1,2025-05-24,3060,2023-08-17,South,Individual,2,2025-05-24,FAILED,5.0,2025-12-28
3,1,2024-06-06,3566,2023-08-17,South,Individual,3,2024-06-08,SUCCESS,5.0,2025-12-28
4,1,2023-11-09,4385,2023-08-17,South,Individual,4,2023-11-11,SUCCESS,5.0,2025-12-28
5,1,2023-05-18,1247,2023-08-17,South,Individual,5,2023-05-21,SUCCESS,5.0,2025-12-28
6,1,2023-06-24,1263,2023-08-17,South,Individual,6,2023-06-25,FAILED,5.0,2025-12-28
7,1,2025-06-03,1291,2023-08-17,South,Individual,7,2025-06-03,SUCCESS,5.0,2025-12-28
8,1,2025-02-02,1565,2023-08-17,South,Individual,8,2025-02-04,SUCCESS,5.0,2025-12-28
9,1,2023-05-03,3200,2023-08-17,South,Individual,9,2023-05-06,FAILED,5.0,2025-12-28
10,1,2023-09-08,3865,2023-08-17,South,Individual,10,2023-09-11,SUCCESS,5.0,2025-12-28
11,1,2024-12-25,3964,2023-08-17,South,Individual,11,2024-12-27,SUCCESS,5.0,2025-12-28
12,2,2024-08-12,49348,2024-07-17,North,Enterprise,12,2024-08-15,PENDING,4.0,2025-08-06
13,2,2024-10-01,33045,2024-07-17,North,Enterprise,13,2024-10-01,PENDING,4.0,2025-08-06
14,2,2023-08-01,47874,2024-07-17,North,Enterprise,14,2023-08-02,SUCCESS,4.0,2025-08-06
15,2,2025-11-05,23942,2024-07-17,North,Enterprise,15,2025-11-08,SUCCESS,4.0,2025-08-06
16,2,2023-11-13,41600,2024-07-17,North,Enterprise,16,2023-11-15,SUCCESS,4.0,2025-08-06
17,3,2023-08-10,13472,2024-04-02,North,SMB,17,2023-08-13,SUCCESS,1.0,2025-05-10
18,4,2025-01-22,5764,2023-07-29,South,SMB,18,2025-01-24,SUCCESS,2.0,2025-10-14
19,4,2024-07-24,9410,2023-07-29,South,SMB,19,2024-07-25,SUCCESS,2.0,2025-10-14
20,4,2025-05-28,2860,2023-07-29,South,SMB,20,2025-05-31,SUCCESS,2.0,2025-10-14
21,4,2024-07-01,2948,2023-07-29,South,SMB,21,2024-07-01,SUCCESS,2.0,2025-10-14
22,4,2024-01-05,10954,2023-07-29,South,SMB,22,2024-01-08,SUCCESS,2.0,2025-10-14
23,4,2024-09-24,13135,2023-07-29,South,SMB,23,2024-09-27,SUCCESS,2.0,2025-10-14
24,4,2024-12-19,2200,2023-07-29,South,SMB,24,2024-12-21,SUCCESS,2.0,2025-10-14
25,4,2024-01-07,6694,2023-07-29,South,SMB,25,2024-01-07,SUCCESS,2.0,2025-10-14
26,4,2025-03-31,4280,2023-07-29,South,SMB,26,2025-04-03,SUCCESS,2.0,2025-10-14
27,4,2023-10-18,3004,2023-07-29,South,SMB,27,2023-10-19,SUCCESS,2.0,2025-10-14
28,4,2023-07-07,19382,2023-07-29,South,SMB,28,2023-07-07,FAILED,2.0,2025-10-14
29,4,2024-03-16,14327,2023-07-29,South,SMB,29,2024-03-19,SUCCESS,2.0,2025-10-14
30,4,2025-05-09,16865,2023-07-29,South,SMB,30,2025-05-10,SUCCESS,2.0,2025-10-14
31,5,2023-11-19,3531,2025-05-14,South,Individual,31,2023-11-22,SUCCESS,1.0,2024-09-27
32,5,2024-09-30,3157,2025-05-14,South,Individual,32,2024-10-02,SUCCESS,1.0,2024-09-27
33,5,2023-06-23,930,2025-05-14,South,Individual,33,2023-06-26,SUCCESS,1.0,2024-09-27
34,5,2023-11-15,1789,2025-05-14,South,Individual,34,2023-11-15,SUCCESS,1.0,2024-09-27
35,5,2023-04-12,1168,2025-05-14,South,Individual,35,2023-04-14,SUCCESS,1.0,2024-09-27
36,5,2024-07-11,4129,2025-05-14,South,Individual,36,2024-07-13,SUCCESS,1.0,2024-09-27
37,5,2025-05-18,4478,2025-05-14,South,Individual,37,2025-05-19,SUCCESS,1.0,2024-09-27
38,5,2025-06-24,3892,2025-05-14,South,Individual,38,2025-06-24,SUCCESS,1.0,2024-09-27
39,5,2024-07-13,2265,2025-05-14,South,Individual,39,2024-07-13,SUCCESS,1.0,2024-09-27
40,5,2025-11-15,1432,2025-05-14,South,Individual,40,2025-11-16,SUCCESS,1.0,2024-09-27
41,6,2025-05-30,1408,2023-03-03,South,Individual,41,2025-05-31,SUCCESS,0.0,
42,6,2024-08-03,4486,2023-03-03,South,Individual,42,2024-08-06,PENDING,0.0,
43,7,2024-09-23,872,2024-03-23,North,Individual,43,2024-09-24,SUCCESS,3.0,2025-11-15
44,7,2024-03-27,3737,2024-03-23,North,Individual,44,2024-03-27,SUCCESS,3.0,2025-11-15
45,7,2023-04-23,562,2024-03-23,North,Individual,45,2023-04-24,SUCCESS,3.0,2025-11-15
46,7,2024-02-23,2969,2024-03-23,North,Individual,46,2024-02-26,FAILED,3.0,2025-11-15
47,7,2024-03-08,1624,2024-03-23,North,Individual,47,2024-03-11,PENDING,3.0,2025-11-15
48,7,2024-06-07,2871,2024-03-23,North,Individual,48,2024-06-08,SUCCESS,3.0,2025-11-15
49,7,2024-11-02,1482,2024-03-23,North,Individual,49,2024-11-02,SUCCESS,3.0,2025-11-15
50,7,2023-01-16,4574,2024-03-23,North,Individual,50,2023-01-19,SUCCESS,3.0,2025-11-15
51,7,2025-05-31,1939,2024-03-23,North,Individual,51,2025-06-02,SUCCESS,3.0,2025-11-15
52,7,2023-09-22,3614,2024-03-23,North,Individual,52,2023-09-25,SUCCESS,3.0,2025-11-15
53,7,2025-12-26,2385,2024-03-23,North,Individual,53,2025-12-28,SUCCESS,3.0,2025-11-15
54,7,2025-10-21,3401,2024-03-23,North,Individual,54,2025-10-23,FAILED,3.0,2025-11-15
55,7,2023-05-28,3752,2024-03-23,North,Individual,55,2023-05-29,SUCCESS,3.0,2025-11-15
56,8,2025-06-12,11228,2025-10-31,South,Enterprise,56,2025-06-12,SUCCESS,1.0,2025-06-24
57,8,2025-07-30,15102,2025-10-31,South,Enterprise,57,2025-08-01,SUCCESS,1.0,2025-06-24
58,8,2024-10-03,47732,2025-10-31,South,Enterprise,58,2024-10-06,SUCCESS,1.0,2025-06-24
59,8,2025-05-29,47578,2025-10-31,South,Enterprise,59,2025-05-29,SUCCESS,1.0,2025-06-24
60,8,2025-04-08,37373,2025-10-31,South,Enterprise,60,2025-04-10,SUCCESS,1.0,2025-06-24
61,9,2023-08-24,15272,2024-02-12,East,SMB,61,2023-08-25,SUCCESS,2.0,2025-07-06
62,9,2023-02-12,12642,2024-02-12,East,SMB,62,2023-02-15,SUCCESS,2.0,2025-07-06
63,9,2023-12-18,17076,2024-02-12,East,SMB,63,2023-12-21,SUCCESS,2.0,2025-07-06
64,9,2025-01-11,4887,2024-02-12,East,SMB,64,2025-01-13,SUCCESS,2.0,2025-07-06
65,9,2025-06-13,5468,2024-02-12,East,SMB,65,2025-06-14,PENDING,2.0,2025-07-06
66,9,2024-05-13,16276,2024-02-12,East,SMB,66,2024-05-15,SUCCESS,2.0,2025-07-06
67,9,2025-03-31,19169,2024-02-12,East,SMB,67,2025-04-03,SUCCESS,2.0,2025-07-06
68,9,2023-06-11,14968,2024-02-12,East,SMB,68,2023-06-14,SUCCESS,2.0,2025-07-06
69,9,2024-09-27,13125,2024-02-12,East,SMB,69,2024-09-27,SUCCESS,2.0,2025-07-06
70,9,2024-03-29,12913,2024-02-12,East,SMB,70,2024-03-29,PENDING,2.0,2025-07-06
71,9,2023-12-11,4502,2024-02-12,East,SMB,71,2023-12-14,SUCCESS,2.0,2025-07-06
72,9,2025-11-11,5736,2024-02-12,East,SMB,72,2025-11-11,PENDING,2.0,2025-07-06
73,9,2025-12-22,18710,2024-02-12,East,SMB,73,2025-12-25,SUCCESS,2.0,2025-07-06
74,9,2024-02-02,13448,2024-02-12,East,SMB,74,2024-02-03,FAILED,2.0,2025-07-06
75,9,2024-12-20,6839,2024-02-12,East,SMB,75,2024-12-20,SUCCESS,2.0,2025-07-06
76,9,2024-04-28,5368,2024-02-12,East,SMB,76,2024-04-29,PENDING,2.0,2025-07-06
77,9,2023-10-27,10387,2024-02-12,East,SMB,77,2023-10-27,SUCCESS,2.0,2025-07-06
78,9,2024-02-09,7685,2024-02-12,East,SMB,78,2024-02-10,SUCCESS,2.0,2025-07-06
79,9,2023-11-10,4469,2024-02-12,East,SMB,79,2023-11-11,PENDING,2.0,2025-07-06
80,9,2023-12-29,18191,2024-02-12,East,SMB,80,2024-01-01,SUCCESS,2.0,2025-07-06
81,9,2025-08-08,16709,2024-02-12,East,SMB,81,2025-08-08,SUCCESS,2.0,2025-07-06
82,9,2024-10-23,12359,2024-02-12,East,SMB,82,2024-10-23,SUCCESS,2.0,2025-07-06
83,9,2023-11-06,16410,2024-02-12,East,SMB,83,2023-11-09,SUCCESS,2.0,2025-07-06
84,9,2023-05-20,17365,2024-02-12,East,SMB,84,2023-05-23,SUCCESS,2.0,2025-07-06
85,9,2025-06-24,11922,2024-02-12,East,SMB,85,2025-06-25,SUCCESS,2.0,2025-07-06
86,9,2024-07-16,3840,2024-02-12,East,SMB,86,2024-07-19,FAILED,2.0,2025-07-06
87,9,2024-12-21,18624,2024-02-12,East,SMB,87,2024-12-22,SUCCESS,2.0,2025-07-06
88,9,2023-06-01,12171,2024-02-12,East,SMB,88,2023-06-04,SUCCESS,2.0,2025-07-06
89,9,2025-08-03,16808,2024-02-12,East,SMB,89,2025-08-06,PENDING,2.0,2025-07-06
90,10,2023-04-27,14082,2024-03-27,East,SMB,90,2023-04-27,FAILED,2.0,2025-11-07
91,10,2024-08-10,4514,2024-03-27,East,SMB,91,2024-08-12,SUCCESS,2.0,2025-11-07
92,10,2023-07-04,18615,2024-03-27,East,SMB,92,2023-07-04,SUCCESS,2.0,2025-11-07
93,10,2025-02-26,17162,2024-03-27,East,SMB,93,2025-03-01,SUCCESS,2.0,2025-11-07
94,10,2023-03-26,16736,2024-03-27,East,SMB,94,2023-03-28,SUCCESS,2.0,2025-11-07
95,11,2024-01-21,3133,2024-07-23,South,Individual,95,2024-01-23,SUCCESS,2.0,2025-05-28
96,11,2025-09-01,4607,2024-07-23,South,Individual,96,2025-09-03,SUCCESS,2.0,2025-05-28
97,11,2023-11-05,1006,2024-07-23,South,Individual,97,2023-11-07,SUCCESS,2.0,2025-05-28
98,11,2025-07-11,1347,2024-07-23,South,Individual,98,2025-07-12,SUCCESS,2.0,2025-05-28
